Navn;Stasjon;Tid(norsk normaltid);Middel av middelvind fra hovedobs. (døgn)
Folgefonna Skisenter;SN49085;12.09.2024;3.8
Folgefonna Skisenter;SN49085;13.09.2024;2.6
Folgefonna Skisenter;SN49085;14.09.2024;4.1
Folgefonna Skisenter;SN49085;15.09.2024;4.9
Folgefonna Skisenter;SN49085;16.09.2024;2.4
Folgefonna Skisenter;SN49085;17.09.2024;2.5
Folgefonna Skisenter;SN49085;18.09.2024;1.6
Folgefonna Skisenter;SN49085;19.09.2024;1.3
Folgefonna Skisenter;SN49085;20.09.2024;1.3
Folgefonna Skisenter;SN49085;21.09.2024;1.9
Folgefonna Skisenter;SN49085;22.09.2024;2.8
Folgefonna Skisenter;SN49085;27.09.2024;3.7
Folgefonna Skisenter;SN49085;28.09.2024;3.5
Folgefonna Skisenter;SN49085;29.09.2024;3.5
Folgefonna Skisenter;SN49085;30.09.2024;7.2
Folgefonna Skisenter;SN49085;01.10.2024;4.8
Folgefonna Skisenter;SN49085;02.10.2024;1.3
Folgefonna Skisenter;SN49085;03.10.2024;1.3
Folgefonna Skisenter;SN49085;04.10.2024;1.6
Folgefonna Skisenter;SN49085;05.10.2024;5.4
Folgefonna Skisenter;SN49085;06.10.2024;3.1
Folgefonna Skisenter;SN49085;07.10.2024;7.6
Folgefonna Skisenter;SN49085;08.10.2024;7.9
Folgefonna Skisenter;SN49085;09.10.2024;6.6
Folgefonna Skisenter;SN49085;10.10.2024;2.9
Folgefonna Skisenter;SN49085;11.10.2024;2.8
Folgefonna Skisenter;SN49085;12.10.2024;7.5
Folgefonna Skisenter;SN49085;13.10.2024;5.6
Folgefonna Skisenter;SN49085;14.10.2024;2.2
Folgefonna Skisenter;SN49085;15.10.2024;4.7
Folgefonna Skisenter;SN49085;16.10.2024;13.8
Folgefonna Skisenter;SN49085;17.10.2024;10.9
Folgefonna Skisenter;SN49085;18.10.2024;7
Folgefonna Skisenter;SN49085;19.10.2024;8.9
Folgefonna Skisenter;SN49085;20.10.2024;8.9
Folgefonna Skisenter;SN49085;21.10.2024;7.2
Folgefonna Skisenter;SN49085;22.10.2024;6.8
Folgefonna Skisenter;SN49085;23.10.2024;5.8
Folgefonna Skisenter;SN49085;24.10.2024;5.2
Folgefonna Skisenter;SN49085;25.10.2024;3.9
Folgefonna Skisenter;SN49085;26.10.2024;6
Folgefonna Skisenter;SN49085;27.10.2024;6.3
Folgefonna Skisenter;SN49085;28.10.2024;4.1
Folgefonna Skisenter;SN49085;29.10.2024;5.9
Folgefonna Skisenter;SN49085;30.10.2024;6.1
Folgefonna Skisenter;SN49085;31.10.2024;7.9
Folgefonna Skisenter;SN49085;01.11.2024;6.5
Folgefonna Skisenter;SN49085;02.11.2024;3.9
Folgefonna Skisenter;SN49085;03.11.2024;4.3
Folgefonna Skisenter;SN49085;04.11.2024;1.3
Folgefonna Skisenter;SN49085;05.11.2024;3.2
Folgefonna Skisenter;SN49085;06.11.2024;3.3
Folgefonna Skisenter;SN49085;07.11.2024;3
Folgefonna Skisenter;SN49085;08.11.2024;1.8
Folgefonna Skisenter;SN49085;09.11.2024;2
Folgefonna Skisenter;SN49085;10.11.2024;2.4
Folgefonna Skisenter;SN49085;11.11.2024;2.2
Folgefonna Skisenter;SN49085;12.11.2024;1.1
Folgefonna Skisenter;SN49085;13.11.2024;3.9
Folgefonna Skisenter;SN49085;14.11.2024;3.4
Folgefonna Skisenter;SN49085;15.11.2024;6.1
Folgefonna Skisenter;SN49085;16.11.2024;8.5
Folgefonna Skisenter;SN49085;17.11.2024;3.6
Folgefonna Skisenter;SN49085;18.11.2024;1.8
Folgefonna Skisenter;SN49085;19.11.2024;3.5
Folgefonna Skisenter;SN49085;20.11.2024;1.2
Folgefonna Skisenter;SN49085;21.11.2024;2.1
Folgefonna Skisenter;SN49085;22.11.2024;2.9
Folgefonna Skisenter;SN49085;23.11.2024;4.8
Folgefonna Skisenter;SN49085;24.11.2024;12.8
Folgefonna Skisenter;SN49085;25.11.2024;8
Folgefonna Skisenter;SN49085;26.11.2024;4
Folgefonna Skisenter;SN49085;27.11.2024;1.2
Folgefonna Skisenter;SN49085;28.11.2024;2.5
Folgefonna Skisenter;SN49085;29.11.2024;6.9
Folgefonna Skisenter;SN49085;30.11.2024;5.9
Folgefonna Skisenter;SN49085;01.12.2024;8
Folgefonna Skisenter;SN49085;02.12.2024;3.1
Folgefonna Skisenter;SN49085;03.12.2024;4
Folgefonna Skisenter;SN49085;04.12.2024;9.1
Folgefonna Skisenter;SN49085;05.12.2024;17.2
Folgefonna Skisenter;SN49085;06.12.2024;6.5
Folgefonna Skisenter;SN49085;07.12.2024;11
Folgefonna Skisenter;SN49085;08.12.2024;4.6
Folgefonna Skisenter;SN49085;09.12.2024;0.9
Folgefonna Skisenter;SN49085;10.12.2024;1.2
Folgefonna Skisenter;SN49085;11.12.2024;2.4
Folgefonna Skisenter;SN49085;12.12.2024;3.1
Folgefonna Skisenter;SN49085;13.12.2024;5.4
Folgefonna Skisenter;SN49085;14.12.2024;5.4
Folgefonna Skisenter;SN49085;15.12.2024;9.1
Folgefonna Skisenter;SN49085;16.12.2024;9.7
Folgefonna Skisenter;SN49085;17.12.2024;4.9
Folgefonna Skisenter;SN49085;18.12.2024;10
Folgefonna Skisenter;SN49085;19.12.2024;8
Folgefonna Skisenter;SN49085;20.12.2024;6.2
Folgefonna Skisenter;SN49085;21.12.2024;7.6
Folgefonna Skisenter;SN49085;22.12.2024;5.7
Folgefonna Skisenter;SN49085;23.12.2024;2.8
Folgefonna Skisenter;SN49085;24.12.2024;6.8
Folgefonna Skisenter;SN49085;25.12.2024;6
Folgefonna Skisenter;SN49085;26.12.2024;5.2
Folgefonna Skisenter;SN49085;27.12.2024;4.5
Folgefonna Skisenter;SN49085;28.12.2024;5.1
Folgefonna Skisenter;SN49085;29.12.2024;8.1
Folgefonna Skisenter;SN49085;30.12.2024;3.6
Folgefonna Skisenter;SN49085;31.12.2024;8.5
Folgefonna Skisenter;SN49085;01.01.2025;4.8
Folgefonna Skisenter;SN49085;02.01.2025;4.3
Folgefonna Skisenter;SN49085;03.01.2025;3.7
Folgefonna Skisenter;SN49085;04.01.2025;2.9
Folgefonna Skisenter;SN49085;05.01.2025;6.2
Folgefonna Skisenter;SN49085;06.01.2025;11.4
Folgefonna Skisenter;SN49085;07.01.2025;9.5
Folgefonna Skisenter;SN49085;08.01.2025;2.7
Folgefonna Skisenter;SN49085;09.01.2025;3
Folgefonna Skisenter;SN49085;02.02.2025;4.5
Folgefonna Skisenter;SN49085;03.02.2025;6.1
Folgefonna Skisenter;SN49085;04.02.2025;8.5
Folgefonna Skisenter;SN49085;05.02.2025;5.7
Folgefonna Skisenter;SN49085;06.02.2025;3.9
Folgefonna Skisenter;SN49085;07.02.2025;3.3
Folgefonna Skisenter;SN49085;08.02.2025;5
Folgefonna Skisenter;SN49085;09.02.2025;3.1
Folgefonna Skisenter;SN49085;10.02.2025;8.2
Folgefonna Skisenter;SN49085;11.02.2025;10.4
Folgefonna Skisenter;SN49085;12.02.2025;4.1
Folgefonna Skisenter;SN49085;13.02.2025;2
Folgefonna Skisenter;SN49085;14.02.2025;3
Folgefonna Skisenter;SN49085;15.02.2025;7.9
Folgefonna Skisenter;SN49085;16.02.2025;1.4
Folgefonna Skisenter;SN49085;17.02.2025;1.5
Folgefonna Skisenter;SN49085;18.02.2025;1.7
Folgefonna Skisenter;SN49085;19.02.2025;7.5
Folgefonna Skisenter;SN49085;20.02.2025;13.7
Folgefonna Skisenter;SN49085;21.02.2025;10.3
Folgefonna Skisenter;SN49085;22.02.2025;6.9
Folgefonna Skisenter;SN49085;23.02.2025;9.7
Folgefonna Skisenter;SN49085;24.02.2025;8.6
Folgefonna Skisenter;SN49085;25.02.2025;6.2
Folgefonna Skisenter;SN49085;26.02.2025;5.1
Folgefonna Skisenter;SN49085;27.02.2025;3.6
Folgefonna Skisenter;SN49085;28.02.2025;3.9
Folgefonna Skisenter;SN49085;01.03.2025;6.5
Folgefonna Skisenter;SN49085;02.03.2025;8.4
Folgefonna Skisenter;SN49085;03.03.2025;9.1
Folgefonna Skisenter;SN49085;04.03.2025;9.8
Folgefonna Skisenter;SN49085;05.03.2025;7.8
Folgefonna Skisenter;SN49085;06.03.2025;7.5
Folgefonna Skisenter;SN49085;07.03.2025;6.2
Folgefonna Skisenter;SN49085;08.03.2025;4.6
Folgefonna Skisenter;SN49085;09.03.2025;4.7
Folgefonna Skisenter;SN49085;10.03.2025;5
Folgefonna Skisenter;SN49085;11.03.2025;2.2
Folgefonna Skisenter;SN49085;12.03.2025;3.4
Folgefonna Skisenter;SN49085;13.03.2025;1.3
Folgefonna Skisenter;SN49085;14.03.2025;1.4
Folgefonna Skisenter;SN49085;15.03.2025;5
Folgefonna Skisenter;SN49085;16.03.2025;3.3
Folgefonna Skisenter;SN49085;17.03.2025;3.1
Folgefonna Skisenter;SN49085;18.03.2025;2.5
Folgefonna Skisenter;SN49085;19.03.2025;3.4
Folgefonna Skisenter;SN49085;20.03.2025;2.1
Folgefonna Skisenter;SN49085;21.03.2025;8.7
Folgefonna Skisenter;SN49085;26.03.2025;5.2
Folgefonna Skisenter;SN49085;27.03.2025;6.2
Folgefonna Skisenter;SN49085;28.03.2025;6.9
Folgefonna Skisenter;SN49085;29.03.2025;7.6
Folgefonna Skisenter;SN49085;30.03.2025;5.2
Folgefonna Skisenter;SN49085;31.03.2025;3.5
Folgefonna Skisenter;SN49085;01.04.2025;1.6
Folgefonna Skisenter;SN49085;02.04.2025;3.7
Folgefonna Skisenter;SN49085;03.04.2025;3.5
Folgefonna Skisenter;SN49085;04.04.2025;1.6
Folgefonna Skisenter;SN49085;05.04.2025;2.6
Folgefonna Skisenter;SN49085;06.04.2025;2.1
Folgefonna Skisenter;SN49085;07.04.2025;0.9
Folgefonna Skisenter;SN49085;08.04.2025;1.1
Folgefonna Skisenter;SN49085;09.04.2025;1.8
Folgefonna Skisenter;SN49085;10.04.2025;4.4
Folgefonna Skisenter;SN49085;11.04.2025;4.3
Folgefonna Skisenter;SN49085;12.04.2025;5.2
Folgefonna Skisenter;SN49085;13.04.2025;9.4
Folgefonna Skisenter;SN49085;14.04.2025;5.6
Folgefonna Skisenter;SN49085;15.04.2025;10.3
Folgefonna Skisenter;SN49085;16.04.2025;11.8
Folgefonna Skisenter;SN49085;17.04.2025;6.6
Folgefonna Skisenter;SN49085;18.04.2025;1.7
Folgefonna Skisenter;SN49085;19.04.2025;5.5
Folgefonna Skisenter;SN49085;20.04.2025;5.2
Folgefonna Skisenter;SN49085;21.04.2025;2.6
Folgefonna Skisenter;SN49085;22.04.2025;1
Folgefonna Skisenter;SN49085;23.04.2025;1.8
Folgefonna Skisenter;SN49085;24.04.2025;3.6
Folgefonna Skisenter;SN49085;25.04.2025;3.3
Folgefonna Skisenter;SN49085;26.04.2025;3
Folgefonna Skisenter;SN49085;27.04.2025;5.4
Folgefonna Skisenter;SN49085;28.04.2025;5
Folgefonna Skisenter;SN49085;29.04.2025;3.7
Folgefonna Skisenter;SN49085;30.04.2025;3.1
Folgefonna Skisenter;SN49085;01.05.2025;5.6
Folgefonna Skisenter;SN49085;02.05.2025;6.3
Folgefonna Skisenter;SN49085;03.05.2025;2.3
Folgefonna Skisenter;SN49085;04.05.2025;3.6
Folgefonna Skisenter;SN49085;05.05.2025;3.6
Folgefonna Skisenter;SN49085;06.05.2025;0.9
Folgefonna Skisenter;SN49085;07.05.2025;1.5
Folgefonna Skisenter;SN49085;08.05.2025;1.3
Folgefonna Skisenter;SN49085;09.05.2025;2.8
Folgefonna Skisenter;SN49085;10.05.2025;2.5
Folgefonna Skisenter;SN49085;11.05.2025;4.3
Folgefonna Skisenter;SN49085;12.05.2025;3
Folgefonna Skisenter;SN49085;13.05.2025;2.3
Folgefonna Skisenter;SN49085;14.05.2025;3.3
Folgefonna Skisenter;SN49085;15.05.2025;2.3
Folgefonna Skisenter;SN49085;16.05.2025;3.2
Folgefonna Skisenter;SN49085;17.05.2025;3
Folgefonna Skisenter;SN49085;18.05.2025;4.3
Folgefonna Skisenter;SN49085;19.05.2025;1.9
Folgefonna Skisenter;SN49085;20.05.2025;2.6
Folgefonna Skisenter;SN49085;21.05.2025;4.4
Folgefonna Skisenter;SN49085;22.05.2025;3.3
Folgefonna Skisenter;SN49085;23.05.2025;2.7
Folgefonna Skisenter;SN49085;25.05.2025;10.3
Folgefonna Skisenter;SN49085;26.05.2025;5.1
Folgefonna Skisenter;SN49085;27.05.2025;7.1
Folgefonna Skisenter;SN49085;28.05.2025;5.4
Folgefonna Skisenter;SN49085;29.05.2025;7
Folgefonna Skisenter;SN49085;30.05.2025;4.5
Folgefonna Skisenter;SN49085;31.05.2025;3.8
Folgefonna Skisenter;SN49085;01.06.2025;6.9
Folgefonna Skisenter;SN49085;02.06.2025;5
Folgefonna Skisenter;SN49085;03.06.2025;10
Folgefonna Skisenter;SN49085;04.06.2025;6.8
Folgefonna Skisenter;SN49085;05.06.2025;5.8
Folgefonna Skisenter;SN49085;06.06.2025;2.6
Folgefonna Skisenter;SN49085;07.06.2025;2.2
Folgefonna Skisenter;SN49085;08.06.2025;3
Folgefonna Skisenter;SN49085;09.06.2025;3.1
Folgefonna Skisenter;SN49085;10.06.2025;2
Folgefonna Skisenter;SN49085;11.06.2025;2.5
Folgefonna Skisenter;SN49085;12.06.2025;4
Folgefonna Skisenter;SN49085;13.06.2025;8.9
Folgefonna Skisenter;SN49085;14.06.2025;7.4
Folgefonna Skisenter;SN49085;15.06.2025;6.9
Folgefonna Skisenter;SN49085;16.06.2025;4.2
Folgefonna Skisenter;SN49085;17.06.2025;4.2
Folgefonna Skisenter;SN49085;18.06.2025;4.6
Folgefonna Skisenter;SN49085;19.06.2025;3.3
Folgefonna Skisenter;SN49085;20.06.2025;3.6
Folgefonna Skisenter;SN49085;21.06.2025;3.2
Folgefonna Skisenter;SN49085;22.06.2025;9.5
Folgefonna Skisenter;SN49085;23.06.2025;3.3
Folgefonna Skisenter;SN49085;24.06.2025;2.7
Folgefonna Skisenter;SN49085;25.06.2025;1.7
Folgefonna Skisenter;SN49085;26.06.2025;4.4
Folgefonna Skisenter;SN49085;27.06.2025;3.9
Folgefonna Skisenter;SN49085;28.06.2025;6.2
Folgefonna Skisenter;SN49085;29.06.2025;6.6
Folgefonna Skisenter;SN49085;30.06.2025;5
Folgefonna Skisenter;SN49085;01.07.2025;5.6
Folgefonna Skisenter;SN49085;02.07.2025;2
Folgefonna Skisenter;SN49085;03.07.2025;3.1
Folgefonna Skisenter;SN49085;04.07.2025;4.4
Folgefonna Skisenter;SN49085;05.07.2025;5.2
Folgefonna Skisenter;SN49085;06.07.2025;1.7
Folgefonna Skisenter;SN49085;07.07.2025;3.7
Folgefonna Skisenter;SN49085;08.07.2025;3.3
Folgefonna Skisenter;SN49085;09.07.2025;3
Folgefonna Skisenter;SN49085;10.07.2025;2
Folgefonna Skisenter;SN49085;11.07.2025;1.6
Folgefonna Skisenter;SN49085;12.07.2025;4.7
Folgefonna Skisenter;SN49085;13.07.2025;5.6
Folgefonna Skisenter;SN49085;14.07.2025;3.4
Folgefonna Skisenter;SN49085;15.07.2025;3
Folgefonna Skisenter;SN49085;16.07.2025;3.3
Folgefonna Skisenter;SN49085;17.07.2025;3.4
Folgefonna Skisenter;SN49085;18.07.2025;4.9
Folgefonna Skisenter;SN49085;19.07.2025;3.8
Folgefonna Skisenter;SN49085;20.07.2025;5
Folgefonna Skisenter;SN49085;21.07.2025;6.9
Folgefonna Skisenter;SN49085;22.07.2025;4.7
Folgefonna Skisenter;SN49085;23.07.2025;3.3
Folgefonna Skisenter;SN49085;24.07.2025;3.8
Folgefonna Skisenter;SN49085;25.07.2025;3.1
Folgefonna Skisenter;SN49085;26.07.2025;2.7
Folgefonna Skisenter;SN49085;27.07.2025;2.3
Folgefonna Skisenter;SN49085;28.07.2025;2
Folgefonna Skisenter;SN49085;29.07.2025;2.2
Folgefonna Skisenter;SN49085;30.07.2025;3.1
Folgefonna Skisenter;SN49085;31.07.2025;1.8
Folgefonna Skisenter;SN49085;01.08.2025;1.3
Folgefonna Skisenter;SN49085;02.08.2025;1.9
Folgefonna Skisenter;SN49085;03.08.2025;4.1
Folgefonna Skisenter;SN49085;04.08.2025;6.8
Folgefonna Skisenter;SN49085;05.08.2025;8.7
Folgefonna Skisenter;SN49085;06.08.2025;6.1
Folgefonna Skisenter;SN49085;07.08.2025;5.2
Folgefonna Skisenter;SN49085;08.08.2025;4.3
Folgefonna Skisenter;SN49085;09.08.2025;6.1
Folgefonna Skisenter;SN49085;10.08.2025;4.8
Folgefonna Skisenter;SN49085;11.08.2025;3.8
Folgefonna Skisenter;SN49085;12.08.2025;3.6
Folgefonna Skisenter;SN49085;13.08.2025;5.7
Folgefonna Skisenter;SN49085;14.08.2025;7.1
Folgefonna Skisenter;SN49085;15.08.2025;3.8
Folgefonna Skisenter;SN49085;16.08.2025;2
Folgefonna Skisenter;SN49085;17.08.2025;1.8
Folgefonna Skisenter;SN49085;18.08.2025;2.5
Folgefonna Skisenter;SN49085;19.08.2025;2.3
Folgefonna Skisenter;SN49085;20.08.2025;3
Folgefonna Skisenter;SN49085;21.08.2025;2.6
Folgefonna Skisenter;SN49085;22.08.2025;3.1
Folgefonna Skisenter;SN49085;23.08.2025;2
Folgefonna Skisenter;SN49085;24.08.2025;1.3
Folgefonna Skisenter;SN49085;25.08.2025;1.7
Folgefonna Skisenter;SN49085;26.08.2025;4.3
Folgefonna Skisenter;SN49085;27.08.2025;8.2
Folgefonna Skisenter;SN49085;28.08.2025;6.5
Folgefonna Skisenter;SN49085;29.08.2025;7.3
Folgefonna Skisenter;SN49085;30.08.2025;8.3
Folgefonna Skisenter;SN49085;31.08.2025;11.6
Folgefonna Skisenter;SN49085;01.09.2025;8.1
Folgefonna Skisenter;SN49085;02.09.2025;8.5
Folgefonna Skisenter;SN49085;03.09.2025;9.2
Folgefonna Skisenter;SN49085;04.09.2025;6.1
Folgefonna Skisenter;SN49085;05.09.2025;5.7
Folgefonna Skisenter;SN49085;06.09.2025;2.1
Folgefonna Skisenter;SN49085;07.09.2025;6.5
Folgefonna Skisenter;SN49085;08.09.2025;10.2
Data er gyldig per 09.09.2025 (CC BY 4.0). Meteorologisk institutt (MET);;;
